"",baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Expression
ENSG00000173039,268.496934046444,-0.0752925805948033,0.151204288521816,-0.497952679324568,0.618517395785909,0.999424181882359,NS
ENSG00000173064,53.946170530201,-0.0446910151888679,0.285432646879468,-0.156572892685748,0.875581467512725,0.999424181882359,NS
ENSG00000173065,13.653909538911,0.329567686701795,0.463868377961137,0.710476726502375,0.477408558306745,0.999424181882359,NS
ENSG00000173083,105.591003032728,0.256941584433381,0.374113615315511,0.686800944725541,0.492208174384606,0.999424181882359,NS
ENSG00000173085,12.8755245450521,-0.03394009941114,0.499478639650308,-0.0679510527915707,0.945824598383621,0.999424181882359,NS
ENSG00000173110,826.487066076918,0.286519916865135,0.248770465377617,1.15174410447083,0.249426242825844,0.999424181882359,NS
ENSG00000173113,72.2168768325001,0.0489710297967606,0.32420449262321,0.151049818589882,0.879936417152871,0.999424181882359,NS
ENSG00000173120,744.772395532912,-0.0699695865829995,0.121662358005548,-0.575112859310264,0.5652149716005,0.999424181882359,NS
ENSG00000173153,60.3285271826711,0.106715816984129,0.251212928335934,0.424802249195645,0.670980837918164,0.999424181882359,NS
ENSG00000173171,101.433132055071,0.480964026212491,0.266590052983778,1.80413342819568,0.0712103924296105,0.999424181882359,NS
ENSG00000173198,86.3299396270654,-0.658957544063966,0.339232122531439,-1.94249748268723,0.0520769043889577,0.999424181882359,NS
ENSG00000173209,82.3117965014756,0.41997131607381,0.243450226304772,1.72508082020862,0.0845129085049787,0.999424181882359,NS
ENSG00000173221,203.106069949301,0.0935693082503399,0.224212782855885,0.417323700542455,0.676441655171144,0.999424181882359,NS
ENSG00000173230,163.515627572871,-0.104782166274087,0.235257305505314,-0.445393889252549,0.656035127490586,0.999424181882359,NS
ENSG00000173264,25.349928847103,0.0421543570471711,0.32638056372437,0.129157069177596,0.897233365441378,0.999424181882359,NS
ENSG00000173273,39.1758610118282,-0.102616716623916,0.288633224236644,-0.355526349730906,0.722195308378732,0.999424181882359,NS
ENSG00000173276,21.5898301932441,-0.802421538022191,0.421883382685946,-1.90199844543183,0.0571713578311598,0.999424181882359,NS
ENSG00000173281,539.591083556665,-0.145528595833905,0.256501756658114,-0.567359061122835,0.570470258038836,0.999424181882359,NS
ENSG00000173327,556.61371779264,0.107056681596079,0.131167563662048,0.816182588188566,0.41439571381242,0.999424181882359,NS
ENSG00000173338,21.2451591544331,-0.346495415852478,0.404445331484726,-0.856717555820181,0.391600998558478,0.999424181882359,NS
ENSG00000173391,6.23819115930111,0.597266310847504,1.26658648908537,0.471555883466595,0.637243822397495,0.999424181882359,NS
ENSG00000173436,19.7850349509231,-0.159694314539328,0.37824167651918,-0.4222017943896,0.67287773187707,0.999424181882359,NS
ENSG00000173442,1435.19056153054,0.206095382587763,0.176687798471431,1.1664381149731,0.243437355742592,0.999424181882359,NS
ENSG00000173465,13.1793317568408,0.119901819319285,0.475892166759907,0.251951655635838,0.801078431714167,0.999424181882359,NS
ENSG00000173473,135.456652383326,0.0925347107356222,0.200114973900388,0.462407729576916,0.64378895732942,0.999424181882359,NS
ENSG00000173480,26.0479853267937,-0.501236792587267,0.361620358726806,-1.38608565721251,0.165720749422778,0.999424181882359,NS
ENSG00000173517,10.659497021621,0.0265096956704702,0.506600678618219,0.0523285830227802,0.958266878552186,0.999424181882359,NS
ENSG00000173535,2922.47784299429,0.292762105128854,0.147511608047538,1.98467164044817,0.0471810160184149,0.999424181882359,NS
ENSG00000173545,43.1060361106103,-0.327361875429319,0.302571335846432,-1.08193287547724,0.279282355494506,0.999424181882359,NS
ENSG00000173559,511.128241478191,0.392377052720076,0.196828471118265,1.99349743708731,0.0462070039052536,0.999424181882359,NS
ENSG00000173566,8.03758167904854,-0.34037629202552,0.611712615503918,-0.556431702401829,0.577915771654706,0.999424181882359,NS
ENSG00000173575,785.872675340794,-0.0459810110586943,0.134958892620906,-0.340703825926113,0.733326558152044,0.999424181882359,NS
ENSG00000173597,106.954981507049,-0.0710249687815037,0.222799941704186,-0.318783605768643,0.749890610902381,0.999424181882359,NS
ENSG00000173598,37.5385255860004,-0.093689892614971,0.305384899637957,-0.306792813678879,0.759001078519169,0.999424181882359,NS
ENSG00000173614,17.5667690836848,0.382571229239214,0.396287815299303,0.965387313133185,0.334350853568593,0.999424181882359,NS
ENSG00000173638,447.335095506326,0.0894158796359049,0.133154165376949,0.671521460727689,0.501888392662958,0.999424181882359,NS
ENSG00000173653,20.0638487770463,0.12868032910168,0.387560960121736,0.332026035494547,0.739869599655653,0.999424181882359,NS
ENSG00000173660,9.72077537305583,-0.18390512851324,0.530111697059682,-0.346917695899351,0.728653151904633,0.999424181882359,NS
ENSG00000173674,17.0195319839951,-0.868872770957459,0.462788880177646,-1.87747114974745,0.0604535478758654,0.999424181882359,NS
ENSG00000173681,31.3389063452612,0.105485128651527,0.31417096930391,0.335757084383845,0.737054054953414,0.999424181882359,NS
ENSG00000173692,27.4013907415184,0.192480852967969,0.336210963671652,0.572500226839564,0.566983132213672,0.999424181882359,NS
ENSG00000173726,29.5746808041411,-0.455347014530222,0.345965291865084,-1.31616386162746,0.188119050260034,0.999424181882359,NS
ENSG00000173744,94.2562169548576,0.0467104055471188,0.220814913111565,0.21153646232,0.832468683067462,0.999424181882359,NS
ENSG00000173757,1465.49593955624,0.100144919159032,0.218905794363016,0.457479526526189,0.647326414684636,0.999424181882359,NS
ENSG00000173762,11.7185834609869,-1.16217163576023,0.651898101415124,-1.78275045323406,0.0746269343915461,0.999424181882359,NS
ENSG00000173812,2723.88986548557,-0.165911417297786,0.235880705784237,-0.703370022343192,0.48182518340614,0.999424181882359,NS
ENSG00000173825,42.4328767747039,0.487075988943622,0.285483587200523,1.70614357805971,0.0879813506478447,0.999424181882359,NS
ENSG00000173846,251.170452118356,-0.301814373584721,0.301710482429536,-1.00034434055572,0.317143895885988,0.999424181882359,NS
ENSG00000173868,923.311182166717,0.124830983045465,0.22891903783841,0.545306254229414,0.585542903363827,0.999424181882359,NS
